X,Y,GU_NM,THT_HG,BHT_DM,WTRTB_BT,WDPT_NM,CREAT_DE
126.963938133,37.525260309,용산구,12.00000000,21.00000000,6.00000000,산벚나무,
126.95949883,37.538645826,용산구,3.00000000,9.00000000,2.00000000,왕벚나무,
126.996050342,37.557727298,중구,5.00000000,12.00000000,6.00000000,왕벚나무,
126.953862808,37.535374431,용산구,7.00000000,8.00000000,3.00000000,왕벚나무,
126.958465673,37.540653199,용산구,7.00000000,25.00000000,2.00000000,왕벚나무,
126.963399248,37.524695232,용산구,9.00000000,19.00000000,5.00000000,산벚나무,
126.996016425,37.561285108,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.996011763,37.561242781,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.996016574,37.561152619,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.953686733,37.535438223,용산구,6.00000000,6.00000000,3.00000000,왕벚나무,
126.967363124,37.522231164,용산구,11.00000000,14.00000000,5.00000000,왕벚나무,
126.998289882,37.561601117,중구,4.00000000,14.00000000,3.00000000,왕벚나무,
126.995608364,37.556698581,중구,5.00000000,12.00000000,5.00000000,왕벚나무,
126.964701481,37.526060114,용산구,10.00000000,10.00000000,4.00000000,산벚나무,
126.995522423,37.556049366,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.995515697,37.556100174,중구,6.00000000,12.00000000,5.00000000,왕벚나무,
127.011883992,37.554759945,중구,6.00000000,12.00000000,4.00000000,왕벚나무,
126.996926442,37.560232652,중구,4.00000000,13.00000000,2.00000000,왕벚나무,
126.99567762,37.556477,중구,6.00000000,12.00000000,5.00000000,왕벚나무,
126.957917403,37.540660699,용산구,7.00000000,18.00000000,2.00000000,왕벚나무,
126.953495878,37.535405454,용산구,6.00000000,6.00000000,3.00000000,왕벚나무,
126.996726416,37.559926325,중구,5.00000000,12.00000000,4.00000000,왕벚나무,
126.965950814,37.521980487,용산구,11.00000000,16.00000000,5.00000000,왕벚나무,
126.957966411,37.540640724,용산구,7.00000000,35.00000000,4.00000000,왕벚나무,
126.99589486,37.557786015,중구,5.00000000,12.00000000,6.00000000,왕벚나무,
127.011798041,37.554356448,중구,7.00000000,13.00000000,6.00000000,왕벚나무,
126.995723997,37.556654793,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.96052339,37.539540719,용산구,7.00000000,30.00000000,3.00000000,왕벚나무,
126.953365378,37.535385824,용산구,6.00000000,5.00000000,3.00000000,왕벚나무,
126.954591299,37.535571492,용산구,6.00000000,7.00000000,3.00000000,왕벚나무,
126.953532062,37.53540868,용산구,7.00000000,7.00000000,3.00000000,왕벚나무,
126.996100955,37.559604203,중구,5.00000000,12.00000000,4.00000000,왕벚나무,
127.011740013,37.55452329,중구,7.00000000,15.00000000,4.00000000,왕벚나무,
126.967288802,37.522215477,용산구,11.00000000,17.00000000,5.00000000,왕벚나무,
126.963534701,37.524843842,용산구,10.00000000,20.00000000,6.00000000,산벚나무,
126.965628877,37.521971856,용산구,11.00000000,17.00000000,5.00000000,왕벚나무,
126.965004215,37.521961506,용산구,11.00000000,20.00000000,5.00000000,왕벚나무,
126.964597595,37.525952953,용산구,11.00000000,18.00000000,5.00000000,산벚나무,
126.997526395,37.560613506,중구,4.00000000,11.00000000,3.00000000,왕벚나무,
126.996105936,37.559178267,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.996008477,37.561390003,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.996016063,37.561340855,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.960237315,37.537633722,용산구,6.00000000,13.00000000,4.00000000,왕벚나무,
126.959091804,37.540148957,용산구,7.00000000,24.00000000,4.00000000,왕벚나무,
126.954697993,37.535609144,용산구,6.00000000,6.00000000,3.00000000,왕벚나무,
126.962360079,37.523611454,용산구,10.00000000,22.00000000,6.00000000,산벚나무,
127.047260315,37.554284271,성동구,7.00000000,25.00000000,4.00000000,왕벚나무,
126.9593989,37.540018219,용산구,7.00000000,20.00000000,4.00000000,왕벚나무,
126.954633861,37.535584869,용산구,7.00000000,8.00000000,3.00000000,왕벚나무,
