fid,tht_hg,bht_dm,wtrtb_bt,wdpt_nm,wdpt_cd,lng,lat
"4740",8,25,4,은행나무,GB,127.017862723,37.515648512
"4741",8,15,2,은행나무,GB,127.01211401,37.513355333
"4742",7,14,3,양버즘나무,PTA,127.019093145,37.51031475
"4743",5,14,2,은행나무,GB,127.053336046,37.44971466
"4744",10,28,8,양버즘나무,PTA,127.032693904,37.469621708
"4745",14,41,6,양버즘나무,PTA,127.002369807,37.503142364
"4746",6,14,3,은행나무,GB,127.01433268,37.489265369
"4747",4,15,3,느티나무,ZS,127.015383813,37.484755459
"4748",11,26,6,양버즘나무,PTA,126.991137032,37.502314349
"4749",11,27,8,느티나무,ZS,127.033050263,37.484221668
"4750",8,36,8,느티나무,ZS,127.081869847,37.461670945
"4751",12,43,6,양버즘나무,PTA,126.988861524,37.495152499
"4752",12,31,10,양버즘나무,PTA,127.021461122,37.510385615
"4753",11,25,8,양버즘나무,PTA,127.020989224,37.4959221
"4754",8,18,3,은행나무,GB,127.037804108,37.45926597
"4755",9,22,5,양버즘나무,PTA,127.021561247,37.49041
"4756",6,23,4,양버즘나무,PTA,127.003976757,37.482754715
"4757",10,36,8,양버즘나무,PTA,126.987328595,37.489363771
"4758",7,14,3,은행나무,GB,127.058324611,37.443820694
"4759",13,31,9,양버즘나무,PTA,126.991451403,37.498331926
"4760",4,24,4,느티나무,ZS,127.044856716,37.464239124
"4761",6,31,6,메타세쿼이아,TB,127.026408356,37.465777312
"4762",8,16,3,은행나무,GB,126.983025213,37.472394266
"4763",10,16,4,양버즘나무,PTA,127.006873972,37.477973837
"4764",10,31,5,양버즘나무,PTA,127.029081438,37.486591762
"4765",11,26,8,양버즘나무,PTA,126.997739457,37.488850193
"4766",13,37,12,가중나무,AA,127.014045166,37.520012252
"4767",7,18,3,은행나무,GB,127.04991663,37.47065403
"4768",11,29,6,양버즘나무,PTA,126.987222492,37.490191434
"4769",6,11,3,은행나무,GB,127.066120221,37.43459041
"4770",6,13,2,은행나무,GB,127.005984658,37.502958874
"4771",8,34,8,칠엽수,AC,127.011961258,37.501828406
"4772",5,30,7,느티나무,ZS,127.067662554,37.455876948
"4773",5,12,2,메타세쿼이아,TB,127.005563105,37.476723092
"4774",6,23,5,메타세쿼이아,TB,127.022710375,37.462578015
"4775",5,22,5,느티나무,ZS,127.048280138,37.469745342
"4776",10,21,6,양버즘나무,PTA,127.01526384,37.519086099
"4777",11,28,10,양버즘나무,PTA,126.986034847,37.503646896
"4778",13,22,5,양버즘나무,PTA,127.038895836,37.478418518
"4779",9,34,5,양버즘나무,PTA,127.005418698,37.480600593
"4780",4,13,3,은행나무,GB,127.01253584,37.481450647
"4781",5,14,4,은행나무,GB,127.023722594,37.472092083
"4782",9,20,5,양버즘나무,PTA,127.038946793,37.471470853
"4783",6,33,7,느티나무,ZS,127.082068608,37.462714955
"4784",10,29,8,양버즘나무,PTA,126.98213914,37.481513618
"4785",13,31,6,양버즘나무,PTA,126.982176397,37.482332604
"4786",13,29,6,양버즘나무,PTA,127.004714564,37.498292748
"4787",0,8,0,느티나무,ZS,127.039865682,37.485214888
"4788",6,16,4,은행나무,GB,126.988139956,37.462534401
"4789",11,32,7,양버즘나무,PTA,127.012649289,37.49350288
"4790",15,32,6,양버즘나무,PTA,126.997196342,37.503668558
"4791",13,41,8,양버즘나무,PTA,127.006940291,37.493772861
